model,model_label,dataset,dataset_label,strategy,strategy_label,error_rate,sign_class,ok,delta_mcc,p_value
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,30,0,True,-0.0056921349425034795,0.4304332733154297
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,40,-1,True,-0.023236399424600207,0.039989471435546875
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,0,-1,True,-0.07581171454688779,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,10,0,True,-0.0033017187932502523,0.7011814117431641
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,20,0,True,-0.00034579355085473384,0.9854354858398438
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,30,0,True,-0.004123709263760045,0.5216732025146484
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,40,0,True,-0.021731755781982998,0.10539817810058594
molformer,MolFormer,pgp_broccatelli,Pgp,random,Random,0,1,True,0.04960320350177316,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,random,Random,10,1,True,0.02471125177982325,0.01531219482421875
molformer,MolFormer,pgp_broccatelli,Pgp,random,Random,20,1,True,0.12928548507060533,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,random,Random,30,1,True,0.20533899198036754,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,random,Random,40,1,True,0.27008278596164076,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,first,First,0,1,True,0.04155231523016856,0.0005855560302734375
molformer,MolFormer,pgp_broccatelli,Pgp,first,First,10,0,True,0.024101284468013184,0.15364646911621094
molformer,MolFormer,pgp_broccatelli,Pgp,first,First,20,1,True,0.1133627231204774,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,first,First,30,1,True,0.19261689957866784,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,first,First,40,1,True,0.2739182378795356,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_error,MinE,0,1,True,0.029054635344121227,0.012079238891601562
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_error,MinE,10,0,True,0.0025681347587910297,0.4523754119873047
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_error,MinE,20,1,True,0.0699726523788104,0.000133514404296875
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_error,MinE,30,1,True,0.1343941800263685,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_error,MinE,40,1,True,0.19905891423849542,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_error,MaxE,0,1,True,0.049073023309261,0.000133514404296875
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,1,True,0.059461187260963055,0.0001049041748046875
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_error,MaxE,20,1,True,0.184037585516504,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_error,MaxE,30,1,True,0.27558785555859716,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_error,MaxE,40,1,True,0.34654732013684214,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0,1,True,0.041939062976151464,9.5367431640625e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,1,True,0.02344643082736131,0.04405403137207031
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,20,1,True,0.13920391204688037,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,30,1,True,0.21251530887552866,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,40,1,True,0.2802363724116398,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0,1,True,0.05588069636569015,2.6702880859375e-05
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,1,True,0.027746174683030866,0.04844093322753906
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,20,1,True,0.10677286650840073,9.5367431640625e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,30,1,True,0.18442513281400885,1.9073486328125e-06
molformer,MolFormer,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,40,1,True,0.2694378354460042,1.9073486328125e-06
molformer,MolFormer,PAMPA_NCATS,PAMPA,random,Random,0,1,True,0.062096695737563795,0.0001049041748046875
molformer,MolFormer,PAMPA_NCATS,PAMPA,random,Random,10,1,True,0.054511821672502986,0.0001049041748046875
