dataset,dataset_label,model,learning_progress,mcc_mean,mcc_std,n_seeds,available_trajectories
pgp_broccatelli,Pgp,D-MPNN,99.58677685950413,0.565625048642953,0.05534643265570009,20,20
pgp_broccatelli,Pgp,MolFormer,0.743801652892562,0.289925021284607,0.10289998390122339,19,19
pgp_broccatelli,Pgp,MolFormer,2.396694214876033,0.4170033776424912,0.09077400844168093,19,19
pgp_broccatelli,Pgp,MolFormer,4.049586776859504,0.4689970498148266,0.07560877908239985,19,19
pgp_broccatelli,Pgp,MolFormer,5.702479338842975,0.5003576450331202,0.08678639161675328,19,19
pgp_broccatelli,Pgp,MolFormer,7.355371900826446,0.5263255719190616,0.07218471686556616,19,19
pgp_broccatelli,Pgp,MolFormer,9.008264462809917,0.5442093086895641,0.0553478227016287,19,19
pgp_broccatelli,Pgp,MolFormer,10.661157024793388,0.5545746743746592,0.0520212340466353,19,19
pgp_broccatelli,Pgp,MolFormer,12.314049586776859,0.572076904783107,0.05298152460481438,19,19
pgp_broccatelli,Pgp,MolFormer,13.96694214876033,0.5888410973373045,0.04523953605071134,19,19
pgp_broccatelli,Pgp,MolFormer,15.619834710743802,0.600384908414236,0.03674175553724515,19,19
pgp_broccatelli,Pgp,MolFormer,17.272727272727273,0.6072695398484391,0.03233634426923896,19,19
pgp_broccatelli,Pgp,MolFormer,18.925619834710744,0.618782836564851,0.026899110383039024,19,19
pgp_broccatelli,Pgp,MolFormer,20.578512396694215,0.626400040071191,0.025909000104293294,19,19
pgp_broccatelli,Pgp,MolFormer,22.231404958677686,0.6284006464786543,0.02551401986179283,19,19
pgp_broccatelli,Pgp,MolFormer,23.884297520661157,0.6347595530811422,0.030596849870233003,19,19
pgp_broccatelli,Pgp,MolFormer,25.537190082644628,0.6319499131300346,0.03126474080784454,19,19
pgp_broccatelli,Pgp,MolFormer,27.1900826446281,0.6350174661341409,0.0367988302552441,19,19
