figure,rf_set,rf_label,dataset,dataset_label,strategy,strategy_label,start_percent,significant,smal_better,delta_auc,p_value,n,sign_class
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,False,True,0.2577471746726484,0.1230926513671875,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,random,Random,10,False,True,0.30087568069510756,0.13272666931152344,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,first,First,10,False,True,0.18847559263958963,0.21616744995117188,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,False,True,0.25077834031464086,0.13272666931152344,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,False,False,-0.019696101248240526,0.3117942810058594,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,False,True,0.36771263753983147,0.058258056640625,20,0
figureS4,rf-n50-none,50/None,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,0.2457244426527513,0.4304332733154297,20,0
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,0.40149601897672865,0.0010166168212890625,20,1
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,0.3514251911808145,0.0042209625244140625,20,1
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,0.6273208265936259,4.76837158203125e-05,20,1
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-1.048179158640957,1.9073486328125e-06,20,-1
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,0.5453319192678269,6.29425048828125e-05,20,1
figureS4,rf-n50-none,50/None,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,0.2610044058371958,0.01068878173828125,20,1
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,random,Random,10,True,True,0.49585059141287857,0.0003948211669921875,20,1
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,first,First,10,True,True,0.6136141753351338,0.0002613067626953125,20,1
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.689564499287702,3.62396240234375e-05,20,1
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,False,-0.14678140152199112,0.6215133666992188,20,0
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,True,True,0.49491432763725635,0.005580902099609375,20,1
figureS4,rf-n500-none,500/None,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,True,True,0.4687571089572252,0.000850677490234375,20,1
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,random,Random,10,False,True,0.6095523785285997,0.082550048828125,20,0
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.4922739201159575,0.04844093322753906,20,1
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,False,True,0.41738000918183227,0.06372261047363281,20,0
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,False,True,0.21471626765507962,1.0,20,0
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,False,True,0.417438714571394,0.0758514404296875,20,0
figureS4,rf-n500-none,500/None,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,0.31119181999649353,0.6476554870605469,20,0
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,1.4960748645130946,1.9073486328125e-06,20,1
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,1.5485901699843798,1.9073486328125e-06,20,1
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,1.914862748191276,1.9073486328125e-06,20,1
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-0.9954700625232846,3.814697265625e-06,20,-1
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,1.3990924371339382,1.9073486328125e-06,20,1
figureS4,rf-n500-none,500/None,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,1.6439982209935746,1.9073486328125e-06,20,1
