model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,ames,Ames,30,first,First,0.33778445592193035,0.04581667169127874,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,30,max_oob_error,MaxE,0.36812444957331064,0.03924320855936803,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,30,max_oob_uncertainty,MaxU,0.3408413076030297,0.04667545521889575,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,30,min_oob_error,MinE,0.32903647701985583,0.05475000685199632,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,30,min_oob_uncertainty,MinU,0.34920910689453033,0.04035534382622186,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,30,random,Random,0.3462978597850212,0.04578327845285474,20,0.37571386576547544,True
dmpnn,D-MPNN,ames,Ames,40,first,First,0.2194889531954855,0.05327583391064316,20,0.2508559501207052,True
dmpnn,D-MPNN,ames,Ames,40,max_oob_error,MaxE,0.2135692220415642,0.04480113144751775,20,0.2508559501207052,True
dmpnn,D-MPNN,ames,Ames,40,max_oob_uncertainty,MaxU,0.226788456019081,0.058850310621166434,20,0.2508559501207052,True
dmpnn,D-MPNN,ames,Ames,40,min_oob_error,MinE,0.23274412499964683,0.06305674695742298,20,0.2508559501207052,True
dmpnn,D-MPNN,ames,Ames,40,min_oob_uncertainty,MinU,0.2330744518484651,0.04852576001748877,20,0.2508559501207052,True
dmpnn,D-MPNN,ames,Ames,40,random,Random,0.23465048985728792,0.04980185090536848,20,0.2508559501207052,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,first,First,0.4706220521163426,0.05840829345441154,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,max_oob_error,MaxE,0.4584738142132279,0.05785909200855012,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,max_oob_uncertainty,MaxU,0.4499628404864694,0.06978474806688933,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,min_oob_error,MinE,0.451967111989427,0.058248424327148995,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,min_oob_uncertainty,MinU,0.4581772672415524,0.056031877131542285,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,0,random,Random,0.46180095121750364,0.07154626200488257,20,0.5573742278922652,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,first,First,0.4406140883889541,0.058525175037986134,20,0.4763977285318641,True
dmpnn,D-MPNN,pgp_broccatelli,Pgp,10,max_oob_error,MaxE,0.4477489750237001,0.04639658368277131,20,0.4763977285318641,True
