dataset,error,seed,metric_value,method,method_label,metric,dataset_label,smal_strategy,f_min_iter
CYP2D6_Veith,0,16,0.4511208861233464,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.4363516852678364,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.4589815597273319,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.4548227878076754,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.4420114482287369,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.4807234298245104,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.4421377209059253,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.4677303793059244,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.4404286290675436,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,7,0.4462289688350699,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,8,0.4609733249594785,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,9,0.4175700016588705,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,0,0.4204301272082097,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.3837385977985032,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.4107615319032983,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.3713483394224171,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.3921543395406586,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.3949793558826132,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.3832528448659377,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.3908792665224094,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,16,0.4012845604932277,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.3897045174036502,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.4070769537098589,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.3825423324982956,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.3998802443482722,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.3953762225846472,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.4080137737684342,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.4149106102597657,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.4171087294078625,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,7,0.4134963770979984,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,8,0.4165279333064388,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,9,0.3818344400445008,balanced,Balanced,mcc,CYP2D6,,
CYP2D6_Veith,0,0,0.4176288385524863,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.3840729901779899,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.4034735881332587,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.3742319755721963,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.3960851095259643,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.3887913450558176,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.3766591242067542,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.4008851508247089,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,16,0.3999438724441805,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.3885058107094328,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.4021296101716984,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.3842580508137984,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.4040975569849903,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.4079538424382269,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.4228380142632089,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.4075921243226998,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.4144583699863585,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,7,0.4234735934141593,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,8,0.4277382838980096,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,9,0.3871709477702681,balanced_diverse,Balanced Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,0,0.4663734154216304,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.4626380893946314,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.4848877803585619,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.4657281677223059,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.4488880026383149,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.4392326673606215,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.4352201839537734,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.4525431682326694,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,16,0.4547521245987123,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.4533855789157373,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.4367835539043599,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.4884271919815485,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.4734229224538313,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.4881148763501238,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.460730746723375,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.4758597380830743,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.4692187268417641,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,7,0.4411525227338059,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,8,0.4649345708324157,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,9,0.4314925748180913,condensed_nearest_neighbour,CondensedNN,mcc,CYP2D6,,
CYP2D6_Veith,0,0,0.1623953824132294,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.2345219256277443,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.1322300482741479,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.1476568304312026,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.1804070356117922,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.1951027844026056,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.1894187545890847,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.1691310839901049,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,16,0.1583043907429522,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,17,0.1663846820885411,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,18,0.1513560348494403,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,19,0.1593735483811595,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,2,0.1238262367881224,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,3,0.1612887470433524,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,4,0.156542555100821,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,5,0.1985945694649272,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,6,0.2138963508162668,diverse,Diverse,mcc,CYP2D6,,
CYP2D6_Veith,0,7,0.1420672317817302,diverse,Diverse,mcc,CYP2D6,,
