error_rate,dataset,strategy,delta_auc,p_value,n,category
0,CHEMBL240-2,random,0.5409493098953252,0.00365447998046875,20,better
0,CHEMBL245-1,first,0.973740701541578,1.9073486328125e-05,20,better
0,CHEMBL245-1,max_oob_error,2.3268870353059463,3.814697265625e-06,20,better
0,CHEMBL245-1,max_oob_uncertainty,1.7134791579263038,0.001209259033203125,20,better
0,CHEMBL245-1,min_oob_error,1.6054592985706253,0.0003223419189453125,20,better
0,CHEMBL245-1,min_oob_uncertainty,1.5641090090242507,3.814697265625e-06,20,better
0,CHEMBL245-1,random,1.7283960301204686,1.9073486328125e-05,20,better
0,CHEMBL2492-1,first,-0.0006044840679397367,1.0,20,no_difference
0,CHEMBL2492-1,max_oob_error,-0.008910518046821992,0.7841262817382812,20,no_difference
0,CHEMBL2492-1,max_oob_uncertainty,-0.003974113766275167,0.5958194732666016,20,no_difference
0,CHEMBL2492-1,min_oob_error,0.01513424878166525,0.7011814117431641,20,no_difference
0,CHEMBL2492-1,min_oob_uncertainty,0.003874013222726802,0.8983173370361328,20,no_difference
0,CHEMBL2492-1,random,0.011298288403720491,0.5705966949462891,20,no_difference
0,CHEMBL251-1,first,-0.020698615483116002,0.4304332733154297,20,no_difference
0,CHEMBL251-1,max_oob_error,-0.0524225111320181,0.05316925048828125,20,no_difference
0,CHEMBL251-1,max_oob_uncertainty,0.024397180313479795,0.8123550415039062,20,no_difference
0,CHEMBL251-1,min_oob_error,-0.014920242168627241,0.34881019592285156,20,no_difference
0,CHEMBL251-1,min_oob_uncertainty,-0.01259216812657371,0.36827659606933594,20,no_difference
0,CHEMBL251-1,random,0.002173067472543977,0.8694877624511719,20,no_difference
0,CHEMBL253-1,first,-0.016838378464471226,0.7285060882568359,20,no_difference
0,CHEMBL253-1,max_oob_error,-0.03534238713819047,0.4523754119873047,20,no_difference
0,CHEMBL253-1,max_oob_uncertainty,-0.014971297205808476,0.6476554870605469,20,no_difference
0,CHEMBL253-1,min_oob_error,-0.0025379588026366307,0.9854354858398438,20,no_difference
0,CHEMBL253-1,min_oob_uncertainty,0.03152523441050743,0.16495704650878906,20,no_difference
0,CHEMBL253-1,random,-0.023662184497797688,0.34881019592285156,20,no_difference
0,CHEMBL255-1,first,0.09165872932275718,0.40909767150878906,20,no_difference
0,CHEMBL255-1,max_oob_error,-0.18167338137418448,0.5705966949462891,20,no_difference
0,CHEMBL255-1,max_oob_uncertainty,0.027818116431624774,0.7561664581298828,20,no_difference
0,CHEMBL255-1,min_oob_error,0.21167345771605675,0.05316925048828125,20,no_difference
0,CHEMBL255-1,min_oob_uncertainty,0.011613635902637398,0.956329345703125,20,no_difference
0,CHEMBL255-1,random,0.1747791301813116,0.14290618896484375,20,no_difference
0,CHEMBL259-1,first,0.6185372450622022,8.20159912109375e-05,20,better
0,CHEMBL259-1,max_oob_error,0.916559786703731,6.29425048828125e-05,20,better
0,CHEMBL259-1,max_oob_uncertainty,0.43127655367636064,0.0042209625244140625,20,better
0,CHEMBL259-1,min_oob_error,0.6260441649773181,2.6702880859375e-05,20,better
0,CHEMBL259-1,min_oob_uncertainty,0.9017964809808483,1.9073486328125e-06,20,better
0,CHEMBL259-1,random,0.6261061092498806,3.814697265625e-06,20,better
0,CHEMBL264-1,first,-0.009897173319748376,0.7841262817382812,20,no_difference
0,CHEMBL264-1,max_oob_error,0.16272666360256452,0.0007076263427734375,20,better
0,CHEMBL264-1,max_oob_uncertainty,-0.0212674375740761,0.6215133666992188,20,no_difference
0,CHEMBL264-1,min_oob_error,-0.01727779255057591,0.8408222198486328,20,no_difference
0,CHEMBL264-1,min_oob_uncertainty,0.01659852076098538,0.7285060882568359,20,no_difference
0,CHEMBL264-1,random,-0.004416177583284409,0.956329345703125,20,no_difference
0,CHEMBL269-1,first,-0.0019835228703172446,0.7011814117431641,20,no_difference
0,CHEMBL269-1,max_oob_error,-0.007975299918805589,0.5458755493164062,20,no_difference
0,CHEMBL269-1,max_oob_uncertainty,-0.009817166661107634,0.6476554870605469,20,no_difference
0,CHEMBL269-1,min_oob_error,0.0011767632792658133,0.8408222198486328,20,no_difference
0,CHEMBL269-1,min_oob_uncertainty,-0.0034393216209007704,0.7011814117431641,20,no_difference
