dataset,protocol,seed,value,metric
PAMPA_NCATS,max_oob_error,14,0.2224356413235023,mcc
PAMPA_NCATS,max_oob_error,15,0.1772281670348366,mcc
PAMPA_NCATS,max_oob_error,16,0.2176531433358187,mcc
PAMPA_NCATS,max_oob_error,17,0.0824246754633913,mcc
PAMPA_NCATS,max_oob_error,18,0.1560040461168147,mcc
PAMPA_NCATS,max_oob_error,19,0.2045989325190214,mcc
PAMPA_NCATS,min_oob_uncertainty,0,0.1626758428961809,mcc
PAMPA_NCATS,min_oob_uncertainty,1,0.196295675706203,mcc
PAMPA_NCATS,min_oob_uncertainty,2,0.1665551920902522,mcc
PAMPA_NCATS,min_oob_uncertainty,3,0.1638374218124708,mcc
PAMPA_NCATS,min_oob_uncertainty,4,0.1390474772436413,mcc
PAMPA_NCATS,min_oob_uncertainty,5,0.1191088547594344,mcc
PAMPA_NCATS,min_oob_uncertainty,6,0.2277411728329508,mcc
PAMPA_NCATS,min_oob_uncertainty,7,0.1654610049699485,mcc
PAMPA_NCATS,min_oob_uncertainty,8,0.1328491285335285,mcc
PAMPA_NCATS,min_oob_uncertainty,9,0.1986545338021398,mcc
PAMPA_NCATS,min_oob_uncertainty,10,0.1237795913337558,mcc
PAMPA_NCATS,min_oob_uncertainty,11,0.1959201089476843,mcc
PAMPA_NCATS,min_oob_uncertainty,12,0.2349618771897038,mcc
PAMPA_NCATS,min_oob_uncertainty,13,0.1616835591870263,mcc
PAMPA_NCATS,min_oob_uncertainty,14,0.2170685362767079,mcc
PAMPA_NCATS,min_oob_uncertainty,15,0.175376092382906,mcc
PAMPA_NCATS,min_oob_uncertainty,16,0.2407540130418619,mcc
PAMPA_NCATS,min_oob_uncertainty,17,0.0832913471574274,mcc
PAMPA_NCATS,min_oob_uncertainty,18,0.139485635271563,mcc
PAMPA_NCATS,min_oob_uncertainty,19,0.2366297172424264,mcc
PAMPA_NCATS,max_oob_uncertainty,0,0.2269434486044192,mcc
PAMPA_NCATS,max_oob_uncertainty,1,0.1830857111651753,mcc
PAMPA_NCATS,max_oob_uncertainty,2,0.1055417489871636,mcc
PAMPA_NCATS,max_oob_uncertainty,3,0.2536712960369666,mcc
PAMPA_NCATS,max_oob_uncertainty,4,0.179151857898415,mcc
PAMPA_NCATS,max_oob_uncertainty,5,0.1379499467138391,mcc
PAMPA_NCATS,max_oob_uncertainty,6,0.1641839043134705,mcc
PAMPA_NCATS,max_oob_uncertainty,7,0.1436186059493829,mcc
PAMPA_NCATS,max_oob_uncertainty,8,0.1344922267591308,mcc
PAMPA_NCATS,max_oob_uncertainty,9,0.1612549704993079,mcc
PAMPA_NCATS,max_oob_uncertainty,10,0.1506153814284929,mcc
PAMPA_NCATS,max_oob_uncertainty,11,0.2007011876506001,mcc
PAMPA_NCATS,max_oob_uncertainty,12,0.2298453647576867,mcc
PAMPA_NCATS,max_oob_uncertainty,13,0.1920282394597742,mcc
PAMPA_NCATS,max_oob_uncertainty,14,0.2334865078416887,mcc
PAMPA_NCATS,max_oob_uncertainty,15,0.1686406815541953,mcc
PAMPA_NCATS,max_oob_uncertainty,16,0.2515589312322148,mcc
PAMPA_NCATS,max_oob_uncertainty,17,0.1258022947546265,mcc
PAMPA_NCATS,max_oob_uncertainty,18,0.1610075638680047,mcc
PAMPA_NCATS,max_oob_uncertainty,19,0.202768760508758,mcc
MDR1_MDCK_classification2,al,0,0.4207517958880736,mcc
MDR1_MDCK_classification2,al,1,0.3857157696498221,mcc
MDR1_MDCK_classification2,al,2,0.4437704385014239,mcc
MDR1_MDCK_classification2,al,3,0.4190750618595742,mcc
MDR1_MDCK_classification2,al,4,0.3882864002682174,mcc
MDR1_MDCK_classification2,al,5,0.3775842462689214,mcc
MDR1_MDCK_classification2,al,6,0.4220419614158938,mcc
MDR1_MDCK_classification2,al,7,0.4412793547582196,mcc
MDR1_MDCK_classification2,al,8,0.4645773334905558,mcc
MDR1_MDCK_classification2,al,9,0.4256190392250651,mcc
MDR1_MDCK_classification2,al,10,0.4484952645245084,mcc
MDR1_MDCK_classification2,al,11,0.4195690628262693,mcc
MDR1_MDCK_classification2,al,12,0.4556157567269028,mcc
MDR1_MDCK_classification2,al,13,0.449902756804023,mcc
MDR1_MDCK_classification2,al,14,0.4088131597528982,mcc
MDR1_MDCK_classification2,al,15,0.4682661180326624,mcc
MDR1_MDCK_classification2,al,16,0.4193780809355038,mcc
