source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,30,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,-0.20109346457681418,0.000209808349609375,20,-1
initial,30,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,0.8127561536298202,5.7220458984375e-06,20,1
initial,30,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,0.6671293901791546,9.5367431640625e-06,20,1
initial,30,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,0.3462772257057278,6.29425048828125e-05,20,1
initial,40,pgp_broccatelli,Pgp,random,Random,1.0220014033297669,0.0007076263427734375,20,1
initial,40,pgp_broccatelli,Pgp,first,First,1.1615122885741953,0.0001049041748046875,20,1
initial,40,pgp_broccatelli,Pgp,min_oob_error,MinE,0.0006956280217726984,0.8123550415039062,20,0
initial,40,pgp_broccatelli,Pgp,max_oob_error,MaxE,2.0535344817716616,3.814697265625e-06,20,1
initial,40,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,1.0519019685029467,2.6702880859375e-05,20,1
initial,40,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,1.1653934712282121,0.0001049041748046875,20,1
initial,40,PAMPA_NCATS,PAMPA,random,Random,0.12950305955729866,0.04844093322753906,20,1
initial,40,PAMPA_NCATS,PAMPA,first,First,0.09772856516524073,0.26109886169433594,20,0
initial,40,PAMPA_NCATS,PAMPA,min_oob_error,MinE,0.07399163096573634,0.14290618896484375,20,0
initial,40,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0.06426951286122617,0.49800872802734375,20,0
initial,40,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,0.07440778499085976,0.40909767150878906,20,0
initial,40,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,0.0703470367718018,0.38837623596191406,20,0
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,-0.0067087706985977215,0.9272785186767578,20,0
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.05633167426513239,0.17685317993164062,20,0
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,-0.12926211733842194,0.01068878173828125,20,-1
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,0.3109603865701702,5.7220458984375e-06,20,1
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.040933647899474665,0.5705966949462891,20,0
initial,40,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.007918683570328789,0.9272785186767578,20,0
initial,40,ames,Ames,random,Random,0.14112353193847574,0.082550048828125,20,0
initial,40,ames,Ames,first,First,0.19184808425795463,0.00485992431640625,20,1
initial,40,ames,Ames,min_oob_error,MinE,-0.010521779382280095,0.8123550415039062,20,0
