dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
MDR1_MDCK_classification2,0,mcc,max_oob_error,edited_nearest_neighbours,EditedNN,20,0.4834560538886216,0.028150987830002635,0.46078700600934147,0.022048988653841355,0.022669047879279987,0.022077379797321994,0.7,0.0027904510498046875
MDR1_MDCK_classification2,0,mcc,max_oob_error,full,Full Model,20,0.4834560538886216,0.028150987830002635,0.42942370799078555,0.025582589945407026,0.05403234589783599,0.053600666123705926,1.0,9.5367431640625e-07
MDR1_MDCK_classification2,0,mcc,max_oob_error,instance_hardness_threshold,InstanceHardness,20,0.4834560538886216,0.028150987830002635,0.42636767960291044,0.021271062098641023,0.0570883742857111,0.059125801042321874,0.95,1.9073486328125e-06
MDR1_MDCK_classification2,0,mcc,max_oob_error,near_miss,NearMiss,20,0.4834560538886216,0.028150987830002635,0.4677048578340319,0.027899931873992884,0.015751196054589623,0.023963397875451903,0.7,0.0347900390625
MDR1_MDCK_classification2,0,mcc,max_oob_error,neighbourhood_cleaning_rule,NeighbourhoodCleaning,20,0.4834560538886216,0.028150987830002635,0.4622886762034657,0.03211624075739027,0.0211673776851558,0.020101665186683076,0.75,0.014787673950195312
MDR1_MDCK_classification2,0,mcc,max_oob_error,one_sided_selection,OneSidedSelection,20,0.4834560538886216,0.028150987830002635,0.4445405016747606,0.02368031016126211,0.0389155522138609,0.03933944148853891,0.95,4.76837158203125e-06
MDR1_MDCK_classification2,0,mcc,max_oob_error,random,Random,20,0.4834560538886216,0.028150987830002635,0.3941878944294449,0.04243835204235523,0.08926815945917665,0.10139181505682693,0.95,1.9073486328125e-06
MDR1_MDCK_classification2,0,mcc,max_oob_error,random_over_sampler,RandomOverSampler,20,0.4834560538886216,0.028150987830002635,0.4549541554401221,0.026632696817429254,0.02850189844849958,0.0226048542590154,0.9,4.76837158203125e-06
MDR1_MDCK_classification2,0,mcc,max_oob_error,random_under_sampler,RandomUnderSampler,20,0.4834560538886216,0.028150987830002635,0.488117880354341,0.026803714334964125,-0.004661826465719482,-0.009082602124056094,0.45,0.7270622253417969
MDR1_MDCK_classification2,0,mcc,max_oob_error,repeated_edited_nearest_neighbours,RepeatedEditedNN,20,0.4834560538886216,0.028150987830002635,0.44505659614678555,0.027761109192271507,0.03839945774183595,0.043795804235955194,0.85,0.0001049041748046875
MDR1_MDCK_classification2,0,mcc,max_oob_error,smoten,SMOTEN,20,0.4834560538886216,0.028150987830002635,0.2922078074551101,0.03187877547880443,0.1912482464335114,0.1912340545230785,1.0,9.5367431640625e-07
MDR1_MDCK_classification2,0,mcc,max_oob_error,tomek_links,TomekLinks,20,0.4834560538886216,0.028150987830002635,0.44792015639289895,0.021604095676409637,0.03553589749572256,0.03038932354127777,1.0,9.5367431640625e-07
PAMPA_NCATS,0,mcc,max_oob_error,all_knn,AllKNN,20,0.18527600552034842,0.03745766656604567,0.1888857279513806,0.03559157363659872,-0.003609722431032133,0.0028869619235731003,0.55,0.5795888900756836
PAMPA_NCATS,0,mcc,max_oob_error,balanced,Balanced,20,0.18527600552034842,0.03745766656604567,0.19723652012521553,0.036843428901677126,-0.011960514604867075,-0.012088692569087414,0.4,0.8772563934326172
PAMPA_NCATS,0,mcc,max_oob_error,balanced_diverse,Balanced Diverse,20,0.18527600552034842,0.03745766656604567,0.18441962830655745,0.04390798502238043,0.0008563772137909862,0.00613595867211765,0.6,0.4061775207519531
PAMPA_NCATS,0,mcc,max_oob_error,condensed_nearest_neighbour,CondensedNN,20,0.18527600552034842,0.03745766656604567,0.18920130105225716,0.04308749216642894,-0.0039252955319087355,-0.006907040026874353,0.4,0.7270622253417969
PAMPA_NCATS,0,mcc,max_oob_error,diverse,Diverse,20,0.18527600552034842,0.03745766656604567,0.06712889525377262,0.06398673310822178,0.1181471102665758,0.10148454390700615,1.0,9.5367431640625e-07
PAMPA_NCATS,0,mcc,max_oob_error,diverse_balanced,Diverse Balanced,20,0.18527600552034842,0.03745766656604567,0.18988377872648815,0.03818730753187534,-0.004607773206139692,0.0022996130261462577,0.55,0.4927177429199219
PAMPA_NCATS,0,mcc,max_oob_error,edited_nearest_neighbours,EditedNN,20,0.18527600552034842,0.03745766656604567,0.19524047046879828,0.03827376436902313,-0.009964464948449799,-0.00917806274573986,0.4,0.7509956359863281
PAMPA_NCATS,0,mcc,max_oob_error,full,Full Model,20,0.18527600552034842,0.03745766656604567,0.16453908326445704,0.05732279210929827,0.020736922255891417,0.0173708577808215,0.8,0.011975288391113281
PAMPA_NCATS,0,mcc,max_oob_error,instance_hardness_threshold,InstanceHardness,20,0.18527600552034842,0.03745766656604567,0.09981684196021881,0.03864113221441943,0.08545916356012961,0.08480426671026609,0.95,6.67572021484375e-06
PAMPA_NCATS,0,mcc,max_oob_error,near_miss,NearMiss,20,0.18527600552034842,0.03745766656604567,0.0018589012091466052,0.036827044837865926,0.18341710431120184,0.1967563429504949,1.0,9.5367431640625e-07
PAMPA_NCATS,0,mcc,max_oob_error,neighbourhood_cleaning_rule,NeighbourhoodCleaning,20,0.18527600552034842,0.03745766656604567,0.1792261355886205,0.051360319052953275,0.006049869931727946,-0.004188122766037458,0.4,0.35059070587158203
PAMPA_NCATS,0,mcc,max_oob_error,one_sided_selection,OneSidedSelection,20,0.18527600552034842,0.03745766656604567,0.17963226767186027,0.05798013712988858,0.005643737848488155,0.006672723357230792,0.5,0.2865844868318326
